               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,             0.02745,            0.025331,           0.0071742,             0.76017,             0.61717,             0.67926,             0.42746,            0.038683,             0.02684,            0.014665,           0.0092219,           0.0092219,           0.0092219
                  59,            0.027249,            0.024671,           0.0073981,             0.76233,             0.61927,              0.6902,             0.43816,            0.038391,            0.027165,            0.014469,           0.0091952,           0.0091952,           0.0091952
                  60,            0.026845,            0.025252,           0.0070882,             0.76635,             0.63094,             0.69072,             0.43782,            0.039025,            0.028065,            0.014169,           0.0091681,           0.0091681,           0.0091681
                  61,            0.026978,            0.024488,           0.0064907,             0.73966,             0.64353,             0.68665,             0.43638,            0.038999,             0.02821,            0.014846,           0.0091406,           0.0091406,           0.0091406
                  62,            0.026854,            0.024567,           0.0060313,             0.76298,             0.65716,             0.70311,             0.45223,            0.038375,            0.027447,            0.013839,           0.0091127,           0.0091127,           0.0091127
                  63,            0.026123,            0.024019,           0.0062778,             0.76759,             0.62566,              0.6863,             0.43816,            0.039407,            0.028715,            0.014037,           0.0090844,           0.0090844,           0.0090844
                  64,            0.026413,            0.024444,           0.0064791,             0.74917,             0.64842,              0.6824,             0.43509,            0.038855,            0.028547,            0.015216,           0.0090557,           0.0090557,           0.0090557
                  65,            0.026076,            0.024267,           0.0066549,             0.76072,             0.61837,             0.68093,             0.43272,            0.038924,            0.028356,            0.014103,           0.0090266,           0.0090266,           0.0090266
                  66,            0.026054,            0.023379,           0.0062224,             0.78871,             0.61341,             0.68989,             0.43935,            0.038987,            0.028861,             0.01421,           0.0089972,           0.0089972,           0.0089972
                  67,            0.025906,            0.024307,           0.0064243,              0.7611,             0.64714,             0.70089,             0.44871,             0.03868,            0.028527,            0.013701,           0.0089673,           0.0089673,           0.0089673
                  68,            0.025822,            0.024399,           0.0061809,             0.76922,             0.62853,             0.69046,             0.44607,            0.038882,            0.028453,            0.014668,           0.0089371,           0.0089371,           0.0089371
                  69,            0.025546,             0.02334,           0.0061479,             0.79496,             0.60873,             0.69265,             0.44509,            0.038744,            0.028087,            0.014212,           0.0089065,           0.0089065,           0.0089065
                  70,            0.025561,            0.023183,           0.0061767,              0.7701,             0.64013,             0.69911,             0.44875,            0.038448,            0.028218,            0.014062,           0.0088755,           0.0088755,           0.0088755
